LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftShoulderAngle,LeftShoulderNormal,RightShoulderAngle,RightShoulderNormal,LeftElbowAngle,LeftElbowNormal,RightElbowAngle,RightElbowNormal
0.00677308812737|0.354497492313|1.90141677856,0.372607082129|0.349225312471|1.83375895023,-0.0588728636503|0.0961379036307|1.88879239559,0.503789842129|0.321536064148|1.60693085194,-0.0878082513809|-0.112074360251|1.79129183292,0.541309535503|0.318521410227|1.38225793839,-103.0,2,-130.0,1,-157.0,0,159.0,0
0.00626037269831|0.354660987854|1.9002584219,0.372432857752|0.351715475321|1.83347702026,-0.0591871775687|0.0958376675844|1.8893173933,0.489793807268|0.375647336245|1.63656556606,-0.0876986011863|-0.112295530736|1.79198634624,0.525149226189|0.380336225033|1.40501332283,-103.0,2,131.0,1,-157.0,0,-157.0,0
0.00617632968351|0.354586571455|1.90057396889,0.370931655169|0.357033282518|1.83398449421,-0.058901309967|0.0954979285598|1.89016962051,0.480917960405|0.395532608032|1.6350979805,-0.0872329100966|-0.112192124128|1.79346418381,0.496868640184|0.450607448816|1.41376256943,-104.0,2,129.0,1,-157.0,0,155.0,0
0.00652114069089|0.354235589504|1.90267038345,0.370774745941|0.357871741056|1.83474838734,-0.0587640330195|0.0953635200858|1.89015507698,0.478562682867|0.402018725872|1.635876894,-0.0869380608201|-0.111739732325|1.79368686676,0.486814111471|0.466802954674|1.41691637039,-104.0,2,128.0,1,-157.0,0,154.0,0
0.00634557241574|0.35445278883|1.90186059475,0.370691299438|0.358363121748|1.83506047726,-0.058589939028|0.0952741503716|1.88986217976,0.477150350809|0.4058149755|1.63626456261,-0.0863832235336|-0.111758552492|1.79331469536,0.48307338357|0.471223920584|1.41796791553,-104.0,2,128.0,1,-157.0,0,154.0,0
0.00607591075823|0.354705959558|1.90101015568,0.370311141014|0.359136074781|1.83604550362,-0.0585792884231|0.0953176021576|1.888651371,0.475074529648|0.408926457167|1.63690757751,-0.0855325385928|-0.111815355718|1.79207396507,0.478476136923|0.474644899368|1.41847252846,-104.0,2,127.0,1,-157.0,0,154.0,0
0.00587590783834|0.354982465506|1.90056979656,0.370257109404|0.359787374735|1.83786129951,-0.0582600720227|0.0972466766834|1.88597846031,0.474204361439|0.41016036272|1.63842248917,-0.0844304487109|-0.110564231873|1.78736722469,0.475627064705|0.474612742662|1.41950714588,-104.0,2,126.0,1,-157.0,0,153.0,0
0.00593150081113|0.35510379076|1.90016257763,0.37005096674|0.360192269087|1.83969914913,-0.0595862865448|0.103464454412|1.8779489994,0.472683042288|0.4102422297|1.6394264698,-0.0847906246781|-0.105081282556|1.77184414864,0.472078502178|0.472736895084|1.41935873032,-104.0,2,126.0,1,-157.0,0,153.0,0
0.0062480289489|0.355400234461|1.89960980415,0.369897812605|0.360097795725|1.84093058109,-0.0662618428469|0.119773045182|1.85733139515,0.47046688199|0.410449355841|1.6395996809,-0.0939027145505|-0.0862450748682|1.73646247387,0.468252062798|0.469523340464|1.41904211044,-106.0,2,125.0,1,-158.0,0,154.0,0
0.00926915928721|0.355345338583|1.90202617645,0.369511365891|0.359814912081|1.84230709076,-0.0731670409441|0.143912926316|1.83502948284,0.468510717154|0.409666806459|1.63998651505,-0.106932722032|-0.0508492849767|1.68872725964,0.463599890471|0.466259628534|1.41813421249,-108.0,2,125.0,1,-158.0,0,153.0,0
0.0115946093574|0.355599284172|1.90319776535,0.369418144226|0.35955581069|1.84258961678,-0.0763341113925|0.162318646908|1.82159900665,0.467034965754|0.409840106964|1.63965392113,-0.112193010747|-0.0310134664178|1.65379035473,0.460992991924|0.464898705482|1.41789507866,-109.0,2,124.0,1,-157.0,0,153.0,0
0.0126739796251|0.355226844549|1.90038096905,0.36968883872|0.357765942812|1.84340071678,-0.0869253873825|0.180683210492|1.79030621052,0.462066978216|0.40982735157|1.63829231262,-0.116660296917|0.0497135557234|1.60787415504,0.454230248928|0.463169008493|1.41688525677,-111.0,2,122.0,1,-152.0,0,154.0,0
0.0136476019397|0.355543881655|1.89902865887,0.370082139969|0.356329619884|1.8434407711,-0.0948746651411|0.218840405345|1.74750196934,0.455696165562|0.411976337433|1.63617908955,-0.12621383369|0.124057203531|1.54350101948,0.446096211672|0.461636304855|1.4145720005,-111.0,1,120.0,1,-154.0,1,156.0,1
0.0158025864512|0.355659991503|1.89760100842,0.370035409927|0.355437994003|1.84350275993,-0.0894473195076|0.277529150248|1.7054387331,0.447732508183|0.413718163967|1.63364505768,-0.129577726126|0.222875401378|1.48844718933,0.436913669109|0.461755394936|1.41230511665,-109.0,1,118.0,1,-162.0,1,157.0,1
0.015275998041|0.356312960386|1.89611744881,0.369670927525|0.354742139578|1.84368884563,-0.105808705091|0.296780258417|1.70699977875,0.43944889307|0.418428868055|1.63251447678,-0.115407630801|0.305848866701|1.45396220684,0.427635014057|0.462963581085|1.41044259071,-113.0,1,116.0,1,145.0,1,159.0,1
