LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftShoulderAngle,LeftShoulderNormal,RightShoulderAngle,RightShoulderNormal,LeftElbowAngle,LeftElbowNormal,RightElbowAngle,RightElbowNormal
-0.0400941446424|0.367619127035|1.8892621994,0.332139253616|0.349842697382|1.84375298023,-0.102619282901|0.116689115763|1.87107694149,0.419375568628|0.150647714734|1.78288900852,-0.099984779954|-0.0940211564302|1.77703952789,0.428466379642|-0.0690913721919|1.62610661983,-101.0,2,-117.0,2,-155.0,0,-153.0,0
-0.0420731753111|0.367183446884|1.89047276974,0.328368127346|0.350772053003|1.84377574921,-0.102671042085|0.116692453623|1.87080001831,0.426718831062|0.184133186936|1.74512219429,-0.0983120277524|-0.0925103202462|1.77589583397,0.442841202021|0.0045431535691|1.54609882832,-100.0,2,-123.0,2,-155.0,0,-151.0,0
-0.0430020242929|0.366982519627|1.8915387392,0.326708436012|0.351483464241|1.84405887127,-0.102884948254|0.116316318512|1.87069678307,0.436711519957|0.200450018048|1.73217535019,-0.0977954044938|-0.0920210629702|1.7757434845,0.450102239847|0.0764230936766|1.52746927738,-100.0,2,-126.0,2,-156.0,0,-146.0,0
-0.0438566878438|0.36679661274|1.89270484447,0.325439125299|0.351992428303|1.84377670288,-0.102915301919|0.11640278995|1.8705804348,0.452384501696|0.248482629657|1.69804215431,-0.0971485897899|-0.0919119641185|1.77504551411,0.455415517092|0.2130433321|1.48369789124,-100.0,2,-133.0,1,-156.0,0,-138.0,0
-0.044121272862|0.366835862398|1.89375567436,0.324540227652|0.356329113245|1.84370660782,-0.102809719741|0.115922816098|1.87002766132,0.444480001926|0.325713694096|1.65656709671,-0.0964150354266|-0.0914658606052|1.77417683601,0.452533334494|0.313964903355|1.36738967896,-101.0,2,-130.0,1,-156.0,0,-149.0,0
-0.0441443435848|0.36697730422|1.8952986002,0.324500620365|0.3669244349|1.84417188168,-0.102781891823|0.116727665067|1.86995315552,0.433360338211|0.423375070095|1.65256071091,-0.0957627296448|-0.0905894190073|1.77366614342,0.459559082985|0.462773650885|1.44134795666,-102.0,2,126.0,1,-156.0,0,158.0,0
-0.0430193282664|0.367064416409|1.89606118202,0.324688106775|0.381598204374|1.8433123827,-0.102091737092|0.118135534227|1.87001574039,0.422357529402|0.489536702633|1.65752744675,-0.0949067622423|-0.0900435522199|1.77303385735,0.453151702881|0.5997377038|1.45246648788,-105.0,2,123.0,1,-156.0,0,163.0,0
-0.0420936048031|0.367261767387|1.89643204212,0.326828598976|0.395295470953|1.84516251087,-0.100814156234|0.119790114462|1.87074029446,0.419094860554|0.515795111656|1.65991806984,-0.0946630984545|-0.0897134244442|1.77308082581,0.44941586256|0.663604974747|1.47227048874,-107.0,2,122.0,1,-156.0,0,164.0,0
-0.0390441417694|0.368334472179|1.89629459381,0.331369519234|0.417907088995|1.84899020195,-0.0979903191328|0.123868793249|1.87219536304,0.414454936981|0.572898447514|1.69759488106,-0.0944484621286|-0.0889418199658|1.7735131979,0.430804848671|0.736753106117|1.54782557487,-110.0,2,121.0,2,-156.0,0,163.0,0
-0.0350299403071|0.369232475758|1.89493978024,0.330852806568|0.432260066271|1.85274481773,-0.0967696011066|0.125400140882|1.87269306183,0.408974826336|0.604700505733|1.71889138222,-0.0943412035704|-0.0874464511871|1.77496433258,0.419416129589|0.778372049332|1.60326910019,-113.0,2,121.0,2,-156.0,0,163.0,0
