LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftShoulderAngle,LeftShoulderNormal,RightShoulderAngle,RightShoulderNormal,LeftElbowAngle,LeftElbowNormal,RightElbowAngle,RightElbowNormal
-0.151877075434|0.357594668865|1.74527919292,0.216078311205|0.357446461916|1.70697903633,-0.203847125173|0.0868707820773|1.73788607121,0.305931001902|0.42612862587|1.48750460148,-0.217724069953|-0.125182434916|1.64486551285,0.344279676676|0.494631022215|1.24496412277,-101.0,2,117.0,1,-157.0,0,167.0,0
-0.151906102896|0.357520729303|1.7454419136,0.215758576989|0.35803976655|1.70701038837,-0.203719481826|0.0867915675044|1.73786830902,0.305407881737|0.424544811249|1.4879142046,-0.217745140195|-0.12517529726|1.64465200901,0.34316277504|0.493017584085|1.24518370628,-101.0,2,117.0,1,-157.0,0,167.0,0
-0.151593729854|0.357510745525|1.74537289143,0.215328589082|0.358649164438|1.7070068121,-0.203629925847|0.086782105267|1.73784959316,0.304899394512|0.423172980547|1.48919796944,-0.217812791467|-0.125001206994|1.64418852329,0.342167973518|0.491475433111|1.24556076527,-101.0,2,117.0,1,-157.0,0,167.0,0
-0.151484534144|0.357482135296|1.74535286427,0.215064272285|0.359041392803|1.70703780651,-0.20353358984|0.0865941941738|1.73766112328,0.304754197598|0.422791093588|1.48885297775,-0.21793396771|-0.125119358301|1.64386332035,0.341350495815|0.490025997162|1.24583899975,-101.0,2,117.0,1,-157.0,0,167.0,0
-0.151322558522|0.357484221458|1.74526655674,0.214874759316|0.359287679195|1.70703971386,-0.203415051103|0.0864977836609|1.73698747158,0.304241687059|0.421708762646|1.48875880241,-0.218239083886|-0.125117108226|1.64301538467,0.340631186962|0.488749355078|1.24578845501,-101.0,2,117.0,1,-157.0,0,167.0,0
-0.151184231043|0.357451558113|1.74522233009,0.214771673083|0.359537273645|1.70708417892,-0.203411340714|0.0865101963282|1.73697018623,0.303997427225|0.420986533165|1.4896402359,-0.218363165855|-0.125022903085|1.6428129673,0.339997887611|0.48792424798|1.24599909782,-101.0,2,117.0,1,-157.0,0,167.0,0
-0.151136741042|0.357472211123|1.74520468712,0.214682906866|0.359616994858|1.70710837841,-0.204047665|0.0874202921987|1.73575532436,0.303659647703|0.420249313116|1.49032819271,-0.21817779541|-0.124065794051|1.64129972458,0.339228063822|0.487016707659|1.24641776085,-101.0,2,117.0,1,-157.0,0,166.0,0
-0.1510502249|0.357489258051|1.7452173233,0.214602172375|0.359660357237|1.7071505785,-0.206713795662|0.0987021625042|1.72637534142,0.303131222725|0.419798582792|1.49049985409,-0.221325933933|-0.114065088332|1.63510382175,0.338163495064|0.486051619053|1.24651253223,-102.0,2,117.0,1,-159.0,0,166.0,0
-0.15098130703|0.357504159212|1.74520003796,0.214565485716|0.359635055065|1.70719909668,-0.21397857368|0.115507513285|1.70499551296,0.302493572235|0.419642269611|1.49049293995,-0.227277740836|-0.0931655392051|1.60304820538,0.336401104927|0.484527975321|1.24628281593,-104.0,2,117.0,1,-160.0,0,166.0,0
-0.1507922858|0.357523143291|1.74513554573,0.214466646314|0.35961869359|1.70723307133,-0.216773182154|0.131352722645|1.67936384678,0.301610916853|0.419359207153|1.49010622501,-0.232880681753|-0.0621265284717|1.54881858826,0.333815723658|0.482705205679|1.24579513073,-104.0,2,117.0,1,-159.0,0,166.0,0
-0.150270536542|0.357321590185|1.74443721771,0.21435713768|0.359597802162|1.70738589764,-0.225093826652|0.150184884667|1.65549528599,0.300644785166|0.419071763754|1.4898121357,-0.228706121445|-0.00459203543141|1.47776472569,0.330465197563|0.480580687523|1.24499666691,-106.0,2,117.0,1,-149.0,0,166.0,0
-0.150137394667|0.357279986143|1.74406599998,0.214109703898|0.359540760517|1.70746469498,-0.238171055913|0.169177308679|1.62563943863,0.300225615501|0.418373316526|1.48962581158,-0.219981387258|0.0164789371192|1.44674563408,0.328251034021|0.478815168142|1.24605441093,-109.0,2,117.0,1,-149.0,1,165.0,1
-0.149764358997|0.357393413782|1.74342882633,0.213585674763|0.359392702579|1.70805692673,-0.243809893727|0.218488767743|1.53932416439,0.299028486013|0.417885035276|1.48983192444,-0.229892358184|0.0966827943921|1.33702015877,0.324329018593|0.476295679808|1.24818396568,-106.0,1,116.0,1,-156.0,1,165.0,1
-0.148947373033|0.358064204454|1.74276471138,0.213188782334|0.359225988388|1.7088572979,-0.279082238674|0.324777305126|1.54194164276,0.298120826483|0.417904913425|1.49047231674,-0.213716760278|0.204075276852|1.34918403625,0.321371644735|0.474633842707|1.24974429607,-117.0,1,116.0,1,-127.0,1,165.0,1
-0.14656162262|0.359831869602|1.7423312664,0.212524548173|0.359002828598|1.70976662636,-0.275973141193|0.345947057009|1.53884029388,0.297954380512|0.418002933264|1.49168229103,-0.16196641326|0.261943995953|1.25673913956,0.318519115448|0.473786026239|1.25127780437,-117.0,1,116.0,1,-125.0,1,164.0,1
