LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftShoulderAngle,LeftShoulderNormal,RightShoulderAngle,RightShoulderNormal,LeftElbowAngle,LeftElbowNormal,RightElbowAngle,RightElbowNormal
0.0346728600562|0.357596486807|1.89545941353,0.403207629919|0.331653803587|1.83391463757,-0.0344119630754|0.104047305882|1.87622106075,0.457624524832|0.0749228149652|1.81185412407,-0.0573984831572|-0.116283483803|1.77552568913,0.44694685936|-0.134470388293|1.71088790894,-100.0,2,-107.0,2,-158.0,0,-155.0,0
0.0340372659266|0.357758939266|1.8958786726,0.402841985226|0.3317681849|1.83429729939,-0.0352217108011|0.104440435767|1.87616539001,0.457003593445|0.0754269659519|1.81227231026,-0.058034516871|-0.116235755384|1.7755510807,0.446835011244|-0.13412950933|1.71123576164,-100.0,2,-107.0,2,-158.0,0,-155.0,0
0.0336621105671|0.357704877853|1.8958684206,0.402374237776|0.331924796104|1.8344322443,-0.0358623564243|0.104576401412|1.87604415417,0.456765919924|0.0764070674777|1.81261181831,-0.0590896047652|-0.11511939019|1.7757024765,0.446739375591|-0.134097501636|1.71124958992,-100.0,2,-107.0,2,-158.0,0,-155.0,0
0.0333448238671|0.357792079449|1.89591360092,0.402048319578|0.33207654953|1.8344540596,-0.0365268699825|0.105262942612|1.87615835667,0.456890523434|0.0770871564746|1.81292617321,-0.0592949576676|-0.115096829832|1.77570927143,0.446718722582|-0.134042456746|1.7112967968,-101.0,2,-107.0,2,-158.0,0,-155.0,0
0.032385058701|0.357881933451|1.89600789547,0.400955438614|0.332354307175|1.83419454098,-0.0376283600926|0.105401903391|1.87591016293,0.457999587059|0.0788552612066|1.81300091743,-0.0598794482648|-0.1148487553|1.77595698833,0.447599053383|-0.133190259337|1.71161496639,-101.0,2,-107.0,2,-158.0,0,-154.0,0
0.0308066420257|0.358036398888|1.89587926865,0.399369865656|0.332699239254|1.83408915997,-0.0398198887706|0.105553157628|1.87556385994,0.460670650005|0.0818148031831|1.8127207756,-0.0606941990554|-0.114807635546|1.77611398697,0.455891937017|-0.130238607526|1.71172463894,-101.0,2,-108.0,2,-158.0,0,-155.0,0
0.0282853394747|0.357854396105|1.89604341984,0.39717617631|0.333137631416|1.83399939537,-0.0412453562021|0.10450899601|1.87526619434,0.465946763754|0.0869329422712|1.81328356266,-0.0616788342595|-0.115997970104|1.77627062798,0.475415825844|-0.123936824501|1.71445190907,-101.0,2,-110.0,2,-158.0,0,-156.0,0
0.0268665887415|0.357994258404|1.89558875561,0.395457565784|0.333933264017|1.83408749104,-0.0435283742845|0.105151280761|1.87471270561,0.477940738201|0.0985713899136|1.81419157982,-0.0631950125098|-0.115824580193|1.77616262436,0.489379048347|-0.120063513517|1.71282863617,-101.0,2,-113.0,2,-158.0,0,-154.0,0
0.0242949444801|0.358121424913|1.89497637749,0.393409669399|0.334852010012|1.83428239822,-0.0453815162182|0.105063512921|1.87479734421,0.493608057499|0.110770903528|1.81348514557,-0.064912006259|-0.115636378527|1.77644610405,0.54132938385|-0.103963598609|1.70951700211,-101.0,2,-118.0,2,-158.0,0,-157.0,0
0.023431153968|0.358180701733|1.89464735985,0.392512559891|0.335185021162|1.83448088169,-0.0466983392835|0.104947350919|1.87466001511,0.503365695477|0.11907762289|1.81269645691,-0.0661688968539|-0.116202794015|1.77617585659,0.570789456367|-0.0869043469429|1.7051204443,-101.0,2,-121.0,2,-158.0,0,-157.0,0
