LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftShoulderAngle,LeftShoulderNormal,RightShoulderAngle,RightShoulderNormal,LeftElbowAngle,LeftElbowNormal,RightElbowAngle,RightElbowNormal
-0.135651558638|0.367008894682|1.74393188953,0.236147522926|0.373773992062|1.75592827797,-0.227310776711|0.439013183117|1.52293074131,0.519867360592|0.387471050024|1.73464560509,-0.254993706942|0.478221088648|1.29162371159,0.732044875622|0.374798476696|1.65497076511,113.0,1,174.0,1,163.0,1,-163.0,1
-0.136074900627|0.367179751396|1.74377679825,0.236627593637|0.373902976513|1.75689351559,-0.227230250835|0.43914681673|1.52282059193,0.488055557013|0.383456498384|1.74295473099,-0.254880487919|0.47819045186|1.29147934914,0.713870286942|0.374608278275|1.65393698215,113.0,1,175.0,1,163.0,1,-161.0,1
-0.136244669557|0.367129385471|1.74379301071,0.236804530025|0.373905241489|1.75727665424,-0.227523908019|0.43907776475|1.52290356159,0.48603323102|0.383532494307|1.74281525612,-0.25494903326|0.478085309267|1.29152739048,0.71076464653|0.375204414129|1.65050756931,113.0,1,174.0,1,163.0,1,-161.0,1
-0.136329635978|0.367148667574|1.74379372597,0.236877441406|0.373943805695|1.75741219521,-0.228907644749|0.438493281603|1.52299022675,0.48631477356|0.391307651997|1.73766458035,-0.255902945995|0.477453708649|1.29155230522,0.712992072105|0.374430716038|1.64715087414,113.0,1,173.0,1,163.0,1,-161.0,1
-0.136661097407|0.367042899132|1.74391365051,0.237124547362|0.374024033546|1.75731706619,-0.278200745583|0.409547299147|1.5545617342,0.534439444542|0.388342678547|1.71619999409,-0.25888171792|0.46109855175|1.3062684536,0.744285941124|0.368837028742|1.63096308708,128.0,1,170.0,1,140.0,1,-164.0,1
-0.13718137145|0.367339104414|1.74411165714,0.237833231688|0.374120116234|1.75685036182,-0.279599696398|0.408745288849|1.55519938469,0.492168664932|0.377669721842|1.73036134243,-0.228310674429|0.3142542243|1.31468832493,0.719699144363|0.368183612823|1.63635134697,128.0,1,-172.0,1,-123.0,1,-163.0,1
-0.138359412551|0.368051797152|1.74522387981,0.239210605621|0.373811006546|1.75612735748,-0.312323451042|0.347648799419|1.55423283577,0.503179192543|0.372991651297|1.72619616985,-0.210322827101|0.299249827862|1.31958961487,0.724048256874|0.363524645567|1.6322940588,-134.0,1,-172.0,1,-115.0,1,-163.0,1
-0.139753714204|0.368124783039|1.74621582031,0.240678459406|0.373564273119|1.75443279743,-0.290411502123|0.360479474068|1.53239965439,0.495967328548|0.37420502305|1.72322130203,-0.219706848264|0.368055731058|1.44395148754,0.725451946259|0.359684050083|1.63088440895,-126.0,1,-172.0,1,106.0,1,-165.0,1
-0.138673841953|0.364833950996|1.74598824978,0.242391914129|0.373570173979|1.75259029865,-0.331340253353|0.270820736885|1.64742922783,0.495859503746|0.372854232788|1.72179949284,-0.212977990508|0.319484502077|1.52270138264,0.728323221207|0.354459583759|1.62842011452,-146.0,1,-172.0,1,-69.0,1,-165.0,1
-0.137716516852|0.365157693624|1.74645996094,0.243175491691|0.373549044132|1.75178313255,-0.369119048119|0.26398307085|1.7473552227,0.496360003948|0.372647613287|1.72088849545,-0.157386600971|0.323803544044|1.52204763889,0.729056179523|0.352697730064|1.62705683708,-158.0,2,-172.0,1,-46.0,1,-164.0,1
-0.137020722032|0.372233808041|1.75063884258,0.244505092502|0.373714625835|1.74962711334,-0.380027264357|0.271588504314|1.79634559155,0.521479427814|0.364473491907|1.70700526237,-0.239166691899|0.275488942862|1.6299366951,0.732232868671|0.348277121782|1.62334990501,-156.0,2,-171.0,1,-43.0,1,-167.0,1
