LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftShoulderAngle,LeftShoulderNormal,RightShoulderAngle,RightShoulderNormal,LeftElbowAngle,LeftElbowNormal,RightElbowAngle,RightElbowNormal
0.10503796488|0.382794946432|1.61427390575,0.455513745546|0.373603075743|1.48008143902,0.0507081262767|0.124698273838|1.62362968922,0.545853078365|0.144735306501|1.4882941246,0.0241707377136|-0.0700164064765|1.55313956738,0.529301643372|-0.0726839154959|1.3974044323,-100.0,2,-111.0,2,-158.0,0,-145.0,0
0.106716349721|0.380646824837|1.61642861366,0.455949723721|0.37411493063|1.47857069969,0.0610923208296|0.122354909778|1.62957465649,0.55103302002|0.148612856865|1.48448193073,0.0384060814977|-0.0748734921217|1.55656170845,0.530232667923|-0.0710571855307|1.39827692509,-99.0,2,-112.0,2,-157.0,0,-144.0,0
0.111396938562|0.377175152302|1.62154948711,0.455867737532|0.37574467063|1.47335982323,0.0927503854036|0.118884921074|1.64732134342,0.565016329288|0.161838591099|1.46908092499,0.0659697130322|-0.0773967653513|1.5699723959,0.535124599934|-0.0668071508408|1.39654254913,-96.0,2,-115.0,2,153.0,0,-142.0,0
0.116434819996|0.373644053936|1.6256762743,0.456105679274|0.376549959183|1.46885693073,0.11391659826|0.102133788168|1.65818846226,0.574409008026|0.167975604534|1.45408391953,0.0837006494403|-0.086280696094|1.5828281641,0.54158192873|-0.0644901692867|1.39259374142,-94.0,2,-118.0,2,150.0,0,-141.0,0
0.126850664616|0.362983107567|1.64056837559,0.454378128052|0.377683222294|1.46330678463,0.124522060156|0.0893546640873|1.664965868,0.580986201763|0.164227828383|1.44209361076,0.100236035883|-0.108041971922|1.60450911522,0.550865590572|-0.0622460879385|1.38775718212,-95.0,2,-117.0,2,157.0,0,-141.0,0
0.130419686437|0.362443774939|1.64567494392,0.450753986835|0.378124237061|1.45674204826,0.129286423326|0.0882633775473|1.66628479958,0.582785964012|0.16402682662|1.43679285049,0.101944826543|-0.10874569416|1.60864698887,0.551792144775|-0.0620195046067|1.38704562187,-95.0,2,-117.0,2,158.0,0,-140.0,0
0.130993232131|0.366177350283|1.63973510265,0.451343744993|0.377797156572|1.45639908314,0.133498564363|0.0935285687447|1.66979300976,0.584616720676|0.156088098884|1.42619740963,0.101680025458|-0.104747183621|1.64799511433,0.560275673866|-0.0573566779494|1.38272762299,-94.0,2,-118.0,2,164.0,0,-143.0,0
0.132918044925|0.366491317749|1.64055919647,0.451662778854|0.377526789904|1.45578896999,0.135667383671|0.0950163379312|1.6765114069,0.584251999855|0.154517009854|1.42330694199,0.106211096048|-0.103566512465|1.65379881859,0.562989652157|-0.0566487722099|1.3810710907,-95.0,2,-118.0,2,163.0,0,-144.0,0
0.134059712291|0.365298777819|1.641466856,0.451872706413|0.377268016338|1.45517146587,0.135211437941|0.0958577990532|1.68633306026,0.58337533474|0.151646107435|1.42090570927,0.103959396482|-0.102527290583|1.6655305624,0.56280452013|-0.0565973669291|1.3797917366,-96.0,2,-118.0,2,162.0,0,-144.0,0
0.13358771801|0.366524815559|1.64138329029,0.451912075281|0.37706682086|1.45468103886,0.131521418691|0.0978597402573|1.68942928314,0.581166565418|0.151661068201|1.42056536674,0.0986937507987|-0.100250020623|1.66787338257,0.560287535191|-0.0578645952046|1.37830066681,-97.0,2,-118.0,2,161.0,0,-145.0,0
